"Study ID";"Form Type";"Form Collection ID";"Form Collection Name";"Form Collection Order";"Form ID";"Form Name";"Form Order";"Field ID";"Field Variable Name";"Field Label";"Field Type";"Field Order";"Field Required";"Calculation Template";"Field Option Group"
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;03335773-78B8-47E5-909B-FC48FCEC0837;"Neoadjuvant therapy";27;7580EB2D-431C-4FDA-953A-E84B75BFCF98;dpca_neoadjuvant;"Neoadjuvant therapy?";radio;1;;;9FD006E3-8C26-4A6C-A0F3-A6F5E0F3E6A7
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;03335773-78B8-47E5-909B-FC48FCEC0837;"Neoadjuvant therapy";27;F2145787-CD8F-4609-8894-9543A41B3848;dpca_typeneoadjuvant;"Type of neoadjuvant chemotherapy?";radio;2;;;0C1A727C-5592-474A-BE86-72C077E01C80
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;03335773-78B8-47E5-909B-FC48FCEC0837;"Neoadjuvant therapy";27;A9BC6D73-2573-43C1-8C46-049B8C081632;dpca_neoadjdat;"Start date neoadjuvant treatment?";date;3;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;03335773-78B8-47E5-909B-FC48FCEC0837;"Neoadjuvant therapy";27;BCA35044-6492-40A8-B8AA-91C172129E2F;dpca_neoadjaf;"Did the patient finish at least 80% of neoadjudant treatment?";radio;4;;;EA8CD9A2-386E-4DE4-8B27-870467C20E72
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;03335773-78B8-47E5-909B-FC48FCEC0837;"Neoadjuvant therapy";27;ABAA1063-678A-4DB3-820B-C7C69DE33159;dpca_neorecist;"RECIST criteria";dropdown;5;;;6575F2EB-6118-49CD-95ED-2262E04A5449
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;8E55FF3A-5384-497A-9D2D-39143C57F636;dpca_bilirubine;Bilirubin;numeric;1;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;F7691779-AEE0-465F-8FBF-221F355CFED3;dpca_hemoglobine;Hemoglobin;numeric;2;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;EDA1EFF6-AEB3-46E0-AE5F-E7A51F6E3F21;dpca_albu;Albumin;numeric;3;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;DAF38760-B24B-4406-8AC6-A671E5054576;dpca_contchrom;"Which measuring scale does your hospital use to measure Chromogranin A?";radio;4;;;DED4E2BE-2856-4ED4-AD36-CE7AB8F83F5F
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;87EE0E58-A264-4D46-B22F-1ED9E426337C;dpca_chrom;"Chromogranin A";numeric;5;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;06CBB14B-12F1-4407-9AAC-C4E1EC4DC416;dpca_labchromogra_ug;"Chromogranin A";numeric;6;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;988675B9-4EE4-4F58-8628-6EDA3774EE47;dpca_igg4;IgG4;numeric;7;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;7C85DAAA-4263-4D87-B1D7-FA6634633BDD;dpca_cea;CEA;numeric;8;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;D411E3D7-2FEF-446E-AF91-09EDC394EF23;dpca_ca199;"CA 19.9";numeric;9;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;62721371-E607-447A-B118-7265F92FED29;dpca_CRP;CRP;numeric;10;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;A59A10D0-D9D4-4C1B-87FD-EB32DADB8028;dpca_leuko;Leukocytes;numeric;11;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;317D739A-58C0-40BC-AB5B-6B0F846EAEDE;dpca_AF;AF;numeric;12;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;136A37B6-C4DA-404B-AB51-AEAD796CE755;dpca_gGT;γ-GT;numeric;13;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;C95610D1-E72F-4F48-A749-09809C4C2DD8;dpca_ASAT;ASAT;numeric;14;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;754B4295-B393-424F-92FA-C941E9FCE552;dpca_ALAT;ALAT;numeric;15;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;12227319-6E63-471E-A129-EF154634736E;"Diagnostics - Lab";20;50E283F5-58E6-40F7-AC76-F4B7F226EDF7;dpca_LDH;LDH;numeric;16;;;
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;1401B5DF-A4A5-4F04-A469-9985B0F682FC;"Diagnostics - Imaging (Resectability)";22;0493CBB3-A2C4-4449-8886-6BACFE74E079;dpca_vaten;"Is there involvement of the following vessels on CT or MRI?";radio;1;;;EA8CD9A2-386E-4DE4-8B27-870467C20E72
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;1401B5DF-A4A5-4F04-A469-9985B0F682FC;"Diagnostics - Imaging (Resectability)";22;E9A64D8A-8F74-4FC6-B0E5-F4DAAF80BF17;dpca_venapm;"- Vena portae and/or vena mesenterica superior (VMS)";radio;2;;;794EFBF4-37BA-42AB-ABF9-EC4032E0C291
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;1401B5DF-A4A5-4F04-A469-9985B0F682FC;"Diagnostics - Imaging (Resectability)";22;ECCC0CFE-4FA3-4994-85D6-A8AFD9CC5928;dpca_amesen;"- Arteria mesenterica superior";radio;3;;;794EFBF4-37BA-42AB-ABF9-EC4032E0C291
7AEDBF6B-A62D-418A-8B5E-94EB958E3B9D;Study;E99287FC-9265-4124-8A16-647D4643C60D;Main;1;1401B5DF-A4A5-4F04-A469-9985B0F682FC;"Diagnostics - Imaging (Resectability)";22;3E490940-A655-4C74-92A1-4F38DABE32FB;dpca_trcoel;"- Truncus coeliacus";radio;4;;;794EFBF4-37BA-42AB-ABF9-EC4032E0C291
